Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,
51,base_setup,diff,72.87e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,
52,base_setup,diff,-41.82e-6,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
53,base_setup,diff,171.7e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,
54,base_setup,diff,-68.02e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,
55,base_setup,diff,244.4e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,
56,base_setup,diff,4.725e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,
57,base_setup,diff,-171.6e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,
58,base_setup,diff,-243.9e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,
59,base_setup,diff,68.28e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,
60,base_setup,diff,-4.725e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
61,base_setup,diff,-47.72e-9,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,
62,base_setup,diff,-240e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,
63,base_setup,diff,240e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,
64,base_setup,diff,-325.1e-6,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,
65,base_setup,diff,-255.9e-9,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,
66,base_setup,diff,-72.76e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,
67,base_setup,diff,72.64e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,
68,base_setup,diff,49.08e-12,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
69,base_setup,diff,171.4e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,
70,base_setup,diff,-68.16e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,
71,base_setup,diff,244e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,
72,base_setup,diff,4.724e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,
73,base_setup,diff,-171e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,
74,base_setup,diff,-244e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,
75,base_setup,diff,68.14e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,
76,base_setup,diff,-4.724e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
77,base_setup,diff,30.51e-9,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,
78,base_setup,diff,-239.1e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,
79,base_setup,diff,239.7e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,
80,base_setup,diff,1.506e-9,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,
81,base_setup,diff,-111e-18,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,
82,base_setup,diff,-72.89e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,
83,base_setup,diff,72.87e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,
84,base_setup,diff,0,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,
85,base_setup,diff,171.7e-3,,,
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,
