Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
51,base_setup,diff,-234.3e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
52,base_setup,diff,-226.9e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
53,base_setup,diff,51.09e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
54,base_setup,diff,93.81e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=0, mc_iteration=1",,,,,,
55,base_setup,diff,-1.772e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=0, mc_iteration=2",,,,,,
56,base_setup,diff,-5.271e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
57,base_setup,diff,-26.27e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
58,base_setup,diff,56.65e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
59,base_setup,diff,-230.8e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
60,base_setup,diff,-222.2e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
61,base_setup,diff,207.7e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
62,base_setup,diff,279.7e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0, mc_iteration=1",,,,,,
63,base_setup,diff,2.547e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0, mc_iteration=2",,,,,,
64,base_setup,diff,324.3e-6,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
65,base_setup,diff,18.05e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
66,base_setup,diff,17.64e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
67,base_setup,diff,-34.19e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
68,base_setup,diff,-81.41e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
69,base_setup,diff,56.31e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
70,base_setup,diff,97.6e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=1",,,,,,
71,base_setup,diff,4.465e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0, mc_iteration=2",,,,,,
72,base_setup,diff,-1.428e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
73,base_setup,diff,181.8e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
74,base_setup,diff,216.5e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
75,base_setup,diff,-29.76e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0, mc_iteration=2",,,,,,
76,base_setup,diff,-76.01e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=1",,,,,,
77,base_setup,diff,220e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8, mc_iteration=2",,,,,,
78,base_setup,diff,296.5e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=1",,,,,,
79,base_setup,diff,8.726e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=2",,,,,,
80,base_setup,diff,4.186e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
81,base_setup,diff,-196.5e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
82,base_setup,diff,-119e-3,,,
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0, mc_iteration=1",,,,,,
83,base_setup,diff,-249e-3,,,
