Test,Name,Yield,Min,Target,Max,Mean,Std Dev,Cpk,Errors
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),33.57e-3,,93.81e-3,66.3e-3,18.79e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-17.44e-3,,1.597e-3,-6.155e-3,5.587e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-198e-3,,61.19e-3,-10.47e-3,76.98e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-364.3e-3,,-189.1e-3,-241.9e-3,57.38e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),153.8e-3,,279.7e-3,230.1e-3,42.36e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=1.8,ch3=1.8,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-14.15e-3,,6.552e-3,-1.697e-3,6.08e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.4e-3,,32.21e-3,-979.5e-6,42.02e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-158e-3,,-34.19e-3,-73.14e-3,39.56e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),39.03e-3,,97.6e-3,70.62e-3,18.39e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-11.2e-3,,5.535e-3,-1.387e-3,5.441e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),15.1e-3,,221.1e-3,162.9e-3,60.27e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-154.8e-3,,-29.76e-3,-68.66e-3,39.71e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),161.6e-3,,296.5e-3,234.4e-3,44.73e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=0,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-7.981e-3,,10.89e-3,3.092e-3,5.941e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-291.1e-3,,-119e-3,-175.8e-3,53.41e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-341.1e-3,,-190e-3,-247.8e-3,47.45e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),34.14e-3,,94.1e-3,66.03e-3,18.66e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=0,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-16.32e-3,,841.8e-6,-6.185e-3,5.277e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-169.1e-3,,79.36e-3,-12.16e-3,69.36e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=1.8,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-338.6e-3,,-186.9e-3,-243.7e-3,47.79e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),156.8e-3,,293.1e-3,230.1e-3,44.89e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=0,ch4=1.8,ch5=1.8,ch6=0,ch7=0",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-13.39e-3,,6.12e-3,-1.753e-3,5.927e-3,,0
"Yield Estimate: 100 %(10 passed/10 pts) | Parameters: ch0=0,ch1=1.8,ch2=0,ch3=1.8,ch4=0,ch5=0,ch6=1.8,ch7=1.8",,,,,,,,,
base_setup,,,,,,,,,
,diff(summary),100% (10/10),-107.5e-3,,32.04e-3,-999e-6,41.98e-3,,0
