Point,Test,Output,Nominal,Spec,Weight,Pass/Fail
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=4",,,,,,
64,base_setup,diff,-13.42e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=5",,,,,,
65,base_setup,diff,98.38e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=6",,,,,,
66,base_setup,diff,38.39e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=7",,,,,,
67,base_setup,diff,-80.84e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=8",,,,,,
68,base_setup,diff,-44.44e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=9",,,,,,
69,base_setup,diff,62.49e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=10",,,,,,
70,base_setup,diff,125.4e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=11",,,,,,
71,base_setup,diff,-41.8e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=12",,,,,,
72,base_setup,diff,91.36e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=13",,,,,,
73,base_setup,diff,-263.4e-6,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=14",,,,,,
74,base_setup,diff,-33.29e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=15",,,,,,
75,base_setup,diff,-125.6e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=16",,,,,,
76,base_setup,diff,-14.55e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=17",,,,,,
77,base_setup,diff,43.34e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=18",,,,,,
78,base_setup,diff,28.42e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=19",,,,,,
79,base_setup,diff,15.88e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=20",,,,,,
80,base_setup,diff,-122.3e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=21",,,,,,
81,base_setup,diff,101.6e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=22",,,,,,
82,base_setup,diff,-30.7e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=23",,,,,,
83,base_setup,diff,66.14e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=24",,,,,,
84,base_setup,diff,-77.04e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=25",,,,,,
85,base_setup,diff,-48.85e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=26",,,,,,
86,base_setup,diff,80.82e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=27",,,,,,
87,base_setup,diff,-42.06e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=28",,,,,,
88,base_setup,diff,-21.36e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=29",,,,,,
89,base_setup,diff,63.36e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0, mc_iteration=30",,,,,,
90,base_setup,diff,-47.87e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=1",,,,,,
91,base_setup,diff,22.57e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=2",,,,,,
92,base_setup,diff,-101.2e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=3",,,,,,
93,base_setup,diff,-15.74e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=4",,,,,,
94,base_setup,diff,3.221e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=5",,,,,,
95,base_setup,diff,110.9e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=6",,,,,,
96,base_setup,diff,49.75e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=7",,,,,,
97,base_setup,diff,17.11e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=8",,,,,,
98,base_setup,diff,-136.6e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=9",,,,,,
99,base_setup,diff,10.26e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=10",,,,,,
100,base_setup,diff,87.43e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=11",,,,,,
101,base_setup,diff,-31.93e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=12",,,,,,
102,base_setup,diff,42.43e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=13",,,,,,
103,base_setup,diff,31.38e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=14",,,,,,
104,base_setup,diff,22.42e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=15",,,,,,
105,base_setup,diff,-68.56e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=16",,,,,,
106,base_setup,diff,27.58e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=17",,,,,,
107,base_setup,diff,21.47e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=18",,,,,,
108,base_setup,diff,-49.51e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=19",,,,,,
109,base_setup,diff,114e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=20",,,,,,
110,base_setup,diff,-128.4e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=21",,,,,,
111,base_setup,diff,-27.01e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=22",,,,,,
112,base_setup,diff,47.63e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=23",,,,,,
113,base_setup,diff,35.48e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=24",,,,,,
114,base_setup,diff,-32.38e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=25",,,,,,
115,base_setup,diff,22.05e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=26",,,,,,
116,base_setup,diff,109e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=27",,,,,,
117,base_setup,diff,30.16e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=28",,,,,,
118,base_setup,diff,-106.4e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=29",,,,,,
119,base_setup,diff,-8.755e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8, mc_iteration=30",,,,,,
120,base_setup,diff,-26.21e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=1",,,,,,
121,base_setup,diff,-465.5e-6,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=2",,,,,,
122,base_setup,diff,-66.33e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=3",,,,,,
123,base_setup,diff,-68.78e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=4",,,,,,
124,base_setup,diff,-33.54e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=5",,,,,,
125,base_setup,diff,53.63e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=6",,,,,,
126,base_setup,diff,14.52e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=7",,,,,,
127,base_setup,diff,-61.6e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=8",,,,,,
128,base_setup,diff,-20.73e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=9",,,,,,
129,base_setup,diff,55.58e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=10",,,,,,
130,base_setup,diff,88.54e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=11",,,,,,
131,base_setup,diff,-49.9e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=12",,,,,,
132,base_setup,diff,100.5e-3,,,
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0, mc_iteration=13",,,,,,
133,base_setup,diff,31.65e-3,,,
