,,Parameter,Nominal,,,,,,temp_0,temp_1,temp_2
,,temperature,27,,,,,,-40,25,125

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,temp_0,temp_1,temp_2
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
35,base_setup,diff,-17.79e-3,,,,-22.14e-3,-12.2e-3,-22.14e-3,-17.91e-3,-12.2e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
36,base_setup,diff,29.65e-3,,,,28.08e-3,30.53e-3,30.53e-3,29.67e-3,28.08e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
37,base_setup,diff,7.464e-3,,,,-22.28e-6,17.67e-3,-22.28e-6,7.245e-3,17.67e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
38,base_setup,diff,55.69e-3,,,,53.39e-3,58.76e-3,53.39e-3,55.62e-3,58.76e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
39,base_setup,diff,-61.36e-3,,,,-70.06e-3,-51.03e-3,-70.06e-3,-61.59e-3,-51.03e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
40,base_setup,diff,-13.3e-3,,,,-16.66e-3,-10.15e-3,-16.66e-3,-13.38e-3,-10.15e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
41,base_setup,diff,78.79e-3,,,,78.31e-3,78.79e-3,78.63e-3,78.79e-3,78.31e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
42,base_setup,diff,126.6e-3,,,,119.2e-3,131.1e-3,131.1e-3,126.8e-3,119.2e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
43,base_setup,diff,11.2e-3,,,,10.53e-3,11.32e-3,11.32e-3,11.21e-3,10.53e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
44,base_setup,diff,59.27e-3,,,,51.38e-3,64.52e-3,64.52e-3,59.43e-3,51.38e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
45,base_setup,diff,36.77e-3,,,,34.06e-3,40.48e-3,34.06e-3,36.68e-3,40.48e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
46,base_setup,diff,85.51e-3,,,,82.1e-3,87.77e-3,87.77e-3,85.57e-3,82.1e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
47,base_setup,diff,-31.7e-3,,,,-34.97e-3,-28.1e-3,-34.97e-3,-31.79e-3,-28.1e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
48,base_setup,diff,17.05e-3,,,,13.35e-3,19.17e-3,19.17e-3,17.13e-3,13.35e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
49,base_setup,diff,59.88e-3,,,,56.79e-3,63.55e-3,56.79e-3,59.79e-3,63.55e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
50,base_setup,diff,107e-3,,,,103.7e-3,108.7e-3,108.7e-3,107e-3,103.7e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
51,base_setup,diff,-7.704e-3,,,,-10.57e-3,-4.164e-3,-10.57e-3,-7.784e-3,-4.164e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
52,base_setup,diff,39.51e-3,,,,35.93e-3,41.81e-3,41.81e-3,39.58e-3,35.93e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
53,base_setup,diff,18.1e-3,,,,11.9e-3,26.34e-3,11.9e-3,17.92e-3,26.34e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
54,base_setup,diff,66.08e-3,,,,65e-3,67.22e-3,65e-3,66.05e-3,67.22e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
55,base_setup,diff,-50.36e-3,,,,-57.17e-3,-42.18e-3,-57.17e-3,-50.54e-3,-42.18e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
56,base_setup,diff,-2.465e-3,,,,-3.912e-3,-1.474e-3,-3.912e-3,-2.496e-3,-1.474e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
57,base_setup,diff,87.94e-3,,,,85.38e-3,89.31e-3,89.31e-3,87.99e-3,85.38e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
58,base_setup,diff,135.6e-3,,,,126.1e-3,141.5e-3,141.5e-3,135.7e-3,126.1e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
59,base_setup,diff,20.5e-3,,,,17.81e-3,22.1e-3,22.1e-3,20.55e-3,17.81e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,
60,base_setup,diff,68.37e-3,,,,58.5e-3,75.03e-3,75.03e-3,68.57e-3,58.5e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,
61,base_setup,diff,46.6e-3,,,,45.23e-3,48.35e-3,45.23e-3,46.56e-3,48.35e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,
62,base_setup,diff,95.12e-3,,,,89.77e-3,98.63e-3,98.63e-3,95.22e-3,89.77e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,
63,base_setup,diff,-21.6e-3,,,,-23.13e-3,-20.07e-3,-23.13e-3,-21.64e-3,-20.07e-3
"Parameters: ch0=0, ch1=0, ch2=1.8, ch3=1.8, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,
64,base_setup,diff,27e-3,,,,21.22e-3,30.82e-3,30.82e-3,27.12e-3,21.22e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,
65,base_setup,diff,46.27e-3,,,,41.84e-3,52.48e-3,41.84e-3,46.14e-3,52.48e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,
66,base_setup,diff,93.94e-3,,,,93.07e-3,94.49e-3,94.49e-3,93.95e-3,93.07e-3
"Parameters: ch0=0, ch1=1.8, ch2=0, ch3=0, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,
