,,Parameter,Nominal,,,,,,ff_0,ff_1,ff_2,ff_3,ss_0,ss_1,ss_2,ss_3
,,crn28hpcp_1d8_elk_v1d0_2p2_shrink0d9_embedded_usage.scs,globalmc_localmc_mos_moscap,,,,,,ffglobalcorner_localmc_mos_moscap,ffglobalcorner_localmc_mos_moscap,ffglobalcorner_localmc_mos_moscap,ffglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap,\ssglobalcorner_localmc_mos_moscap
,,temperature,27,,,,,,-40,125,-40,125,-40,125,-40,125
,,vdd,1.1,,,,,,1,1,1.2,1.2,1,1,1.2,1.2

Point,Test,Output,Nominal,Spec,Weight,Pass/Fail,Min,Max,ff_0,ff_1,ff_2,ff_3,ss_0,ss_1,ss_2,ss_3
7,base_setup,b3,27.81e-3,,,,25.24e-3,35.78e-3,31.51e-3,28.99e-3,28.7e-3,29.99e-3,35.78e-3,27.49e-3,27.95e-3,25.24e-3
7,base_setup,b4,-51.91e-3,,,,-66.14e-3,-40.29e-3,-40.29e-3,-53.5e-3,-43.46e-3,-59.44e-3,-49.99e-3,-60.58e-3,-48.77e-3,-66.14e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
8,base_setup,b0,1.923e-3,,,,-6.053e-3,12.44e-3,6.338e-3,12.44e-3,-495.7e-6,5.066e-3,3.416e-3,9.841e-3,-6.053e-3,304e-6
8,base_setup,b1,-2.934e-3,,,,-17.76e-3,13.36e-3,-17.76e-3,-2.505e-3,-2.061e-3,12.08e-3,-16.8e-3,-1.035e-3,-655e-6,13.36e-3
8,base_setup,b2,-56.42e-3,,,,-76.51e-3,-40.22e-3,-45.57e-3,-59.83e-3,-40.22e-3,-57.12e-3,-65.52e-3,-76.51e-3,-55.56e-3,-73.02e-3
8,base_setup,b3,-53e-3,,,,-58.26e-3,-45.84e-3,-48.95e-3,-52.7e-3,-53.05e-3,-58.26e-3,-45.84e-3,-53.34e-3,-52.47e-3,-58.18e-3
8,base_setup,b4,-3.877e-3,,,,-10.79e-3,2.247e-3,2.247e-3,-5.95e-3,-1.255e-3,-10.79e-3,-383.3e-6,-6.114e-3,1.298e-3,-9.72e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=0",,,,,,,,,,,,,,,,
9,base_setup,b0,24.49e-3,,,,16.05e-3,36.97e-3,24.7e-3,22.96e-3,16.05e-3,18.15e-3,36.97e-3,32.21e-3,27.51e-3,26.98e-3
9,base_setup,b1,35.59e-3,,,,28.37e-3,41.51e-3,34.95e-3,28.37e-3,36.33e-3,33.36e-3,40.42e-3,33.12e-3,41.51e-3,36.12e-3
9,base_setup,b2,-16.86e-3,,,,-23.41e-3,-14.14e-3,-18.23e-3,-19.03e-3,-14.14e-3,-18.62e-3,-23.41e-3,-21.88e-3,-15.4e-3,-18.62e-3
9,base_setup,b3,13.55e-3,,,,233.2e-6,26.14e-3,24.88e-3,17.87e-3,26.14e-3,20.48e-3,8.203e-3,233.2e-6,8.81e-3,734.8e-6
9,base_setup,b4,-6.743e-3,,,,-16.76e-3,5.555e-3,-12.17e-3,-16.76e-3,-7.075e-3,-13.79e-3,-6.143e-3,-7.016e-3,5.555e-3,-3.905e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
10,base_setup,b0,64.11e-3,,,,53.26e-3,79.52e-3,66.88e-3,60.31e-3,58.59e-3,53.26e-3,79.52e-3,70.22e-3,68.73e-3,61.42e-3
10,base_setup,b1,39.32e-3,,,,30.14e-3,49.96e-3,30.14e-3,31.86e-3,34.15e-3,40.56e-3,43.64e-3,43.49e-3,47.87e-3,49.96e-3
10,base_setup,b2,-120.4e-3,,,,-143.1e-3,-109.6e-3,-120.9e-3,-114.8e-3,-109.8e-3,-109.6e-3,-143.1e-3,-132.5e-3,-126.6e-3,-123.7e-3
10,base_setup,b3,-67.05e-3,,,,-83.63e-3,-54.03e-3,-54.03e-3,-64.36e-3,-56.47e-3,-69.4e-3,-72.84e-3,-80.21e-3,-70.63e-3,-83.63e-3
10,base_setup,b4,39.11e-3,,,,28.89e-3,52.76e-3,28.89e-3,29.27e-3,33.99e-3,33.26e-3,43.05e-3,45.65e-3,52.76e-3,49.74e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
11,base_setup,b0,-1.35e-3,,,,-5.926e-3,7.639e-3,-261.3e-6,-807.3e-6,-5.926e-3,-5.277e-3,7.639e-3,4.936e-3,1.471e-3,-267.3e-6
11,base_setup,b1,-2.83e-3,,,,-7.437e-3,2.326e-3,-4.195e-3,-4.508e-3,1.569e-3,2.326e-3,-7.437e-3,-7.344e-3,-1.228e-3,-1.711e-3
11,base_setup,b2,28.26e-3,,,,18.35e-3,35.12e-3,31.5e-3,22.2e-3,35.12e-3,22.8e-3,25.15e-3,18.35e-3,32.84e-3,20.73e-3
11,base_setup,b3,84.33e-3,,,,72.26e-3,96.72e-3,88.58e-3,73.1e-3,82.68e-3,72.26e-3,96.72e-3,81.98e-3,95.71e-3,78.06e-3
11,base_setup,b4,-19.63e-3,,,,-31.32e-3,-10.45e-3,-17.08e-3,-27.82e-3,-15.26e-3,-31.32e-3,-10.94e-3,-22.84e-3,-10.45e-3,-25.23e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
12,base_setup,b0,37.02e-3,,,,28.28e-3,49.62e-3,40.83e-3,35.44e-3,34.91e-3,28.28e-3,49.62e-3,42.25e-3,41.29e-3,32.92e-3
12,base_setup,b1,2.49e-3,,,,-8.171e-3,14.3e-3,-8.171e-3,948.6e-6,2.04e-3,12.16e-3,-3.503e-3,4.481e-3,6.382e-3,14.3e-3
12,base_setup,b2,-77.02e-3,,,,-95.42e-3,-63.65e-3,-72.51e-3,-75.45e-3,-63.65e-3,-71.16e-3,-95.42e-3,-92.88e-3,-79.81e-3,-86.03e-3
12,base_setup,b3,4.288e-3,,,,-14.69e-3,16.11e-3,8.845e-3,-7.975e-3,2.171e-3,-14.69e-3,15.06e-3,1.136e-3,16.11e-3,-4.366e-3
12,base_setup,b4,26.67e-3,,,,16.03e-3,38.12e-3,24.16e-3,18.19e-3,25.82e-3,16.03e-3,38.12e-3,29.78e-3,37.65e-3,29.01e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,,,,,,
13,base_setup,b0,17.53e-3,,,,10.34e-3,26.36e-3,17.89e-3,19.55e-3,10.34e-3,16.34e-3,26.36e-3,25.14e-3,16.77e-3,21.05e-3
13,base_setup,b1,23.77e-3,,,,19.35e-3,27.54e-3,20.83e-3,19.35e-3,24.86e-3,25.16e-3,21.37e-3,21.7e-3,27.54e-3,26.59e-3
13,base_setup,b2,6.774e-3,,,,-2.831e-3,12.63e-3,9.982e-3,-564.1e-6,12.63e-3,-572.9e-6,6.022e-3,-2.831e-3,11.65e-3,-1.271e-3
13,base_setup,b3,-43.54e-3,,,,-60.79e-3,-25.39e-3,-32.48e-3,-26.81e-3,-29.97e-3,-25.39e-3,-60.79e-3,-54.74e-3,-58.06e-3,-54.22e-3
13,base_setup,b4,-15.83e-3,,,,-26.79e-3,-4.423e-3,-12.39e-3,-25.33e-3,-15.14e-3,-26.79e-3,-7.227e-3,-19.06e-3,-4.423e-3,-21.92e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
14,base_setup,b0,56.84e-3,,,,51.48e-3,68.7e-3,59.76e-3,56.81e-3,52.41e-3,51.48e-3,68.7e-3,63.02e-3,57.4e-3,55.35e-3
14,base_setup,b1,27.38e-3,,,,16e-3,40.3e-3,16e-3,22.78e-3,22.65e-3,32.41e-3,23.51e-3,31.63e-3,33.68e-3,40.3e-3
14,base_setup,b2,-98.24e-3,,,,-115.3e-3,-84.87e-3,-94.01e-3,-97.51e-3,-84.87e-3,-93.05e-3,-115.3e-3,-114.3e-3,-101e-3,-107.6e-3
14,base_setup,b3,-125.8e-3,,,,-140.6e-3,-110e-3,-112.8e-3,-110e-3,-114.8e-3,-117e-3,-140.6e-3,-135.6e-3,-140e-3,-140.3e-3
14,base_setup,b4,30.6e-3,,,,20.97e-3,43.49e-3,28.74e-3,21.4e-3,26.47e-3,20.97e-3,41.45e-3,34.32e-3,43.49e-3,32.79e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
15,base_setup,b0,-8.423e-3,,,,-11.82e-3,-2.245e-3,-7.178e-3,-4.418e-3,-11.82e-3,-7.36e-3,-3.13e-3,-2.245e-3,-9.299e-3,-6.329e-3
15,base_setup,b1,-16.64e-3,,,,-26.94e-3,-7.064e-3,-20.35e-3,-14.94e-3,-11.86e-3,-7.064e-3,-26.94e-3,-20.46e-3,-17.88e-3,-12.91e-3
15,base_setup,b2,49.75e-3,,,,36.06e-3,59.04e-3,56.88e-3,38.93e-3,59.04e-3,39.14e-3,53.27e-3,36.06e-3,57.42e-3,36.61e-3
15,base_setup,b3,19.64e-3,,,,15.99e-3,28.3e-3,24.15e-3,22.11e-3,18.86e-3,20.58e-3,28.3e-3,20.34e-3,18.89e-3,15.99e-3
15,base_setup,b4,-29.34e-3,,,,-46.47e-3,-17.99e-3,-17.99e-3,-37.93e-3,-24.68e-3,-46.47e-3,-18.78e-3,-36.27e-3,-19.44e-3,-44.32e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=0, ch4=1.8, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
16,base_setup,b0,29.67e-3,,,,26.22e-3,38.67e-3,33.63e-3,31.74e-3,28.57e-3,26.22e-3,38.67e-3,34.95e-3,29.99e-3,26.76e-3
16,base_setup,b1,-11.58e-3,,,,-24.51e-3,2.901e-3,-24.51e-3,-9.538e-3,-11.58e-3,2.816e-3,-23.29e-3,-8.999e-3,-10.92e-3,2.901e-3
16,base_setup,b2,-57.01e-3,,,,-76.08e-3,-41.64e-3,-48.55e-3,-59.9e-3,-41.64e-3,-56.28e-3,-68.4e-3,-76.08e-3,-56.89e-3,-71.37e-3
16,base_setup,b3,-61.31e-3,,,,-67.95e-3,-53.23e-3,-56.35e-3,-59.69e-3,-63.21e-3,-67.95e-3,-53.23e-3,-60.46e-3,-61.66e-3,-67.64e-3
16,base_setup,b4,17.61e-3,,,,1.713e-3,30.51e-3,23.38e-3,8.959e-3,16.97e-3,1.713e-3,30.51e-3,17.33e-3,29.1e-3,11.1e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=0",,,,,,,,,,,,,,,,
17,base_setup,b0,21.31e-3,,,,11.79e-3,37.05e-3,21.96e-3,19.76e-3,11.79e-3,14.2e-3,37.05e-3,30.2e-3,24.28e-3,23.52e-3
17,base_setup,b1,60.78e-3,,,,46.52e-3,73.58e-3,58.99e-3,46.52e-3,60.77e-3,52.19e-3,73.58e-3,58.6e-3,73.35e-3,61.45e-3
17,base_setup,b2,-32.41e-3,,,,-39.45e-3,-29.78e-3,-30.7e-3,-30.43e-3,-29.78e-3,-32.81e-3,-39.45e-3,-36.84e-3,-34.21e-3,-36.69e-3
17,base_setup,b3,16e-3,,,,4.444e-3,28.79e-3,24.24e-3,20.76e-3,28.79e-3,26.42e-3,9.052e-3,4.444e-3,11.6e-3,7.817e-3
17,base_setup,b4,-39.34e-3,,,,-46.52e-3,-31.87e-3,-46.15e-3,-38.91e-3,-36.53e-3,-31.87e-3,-46.52e-3,-39.29e-3,-36.78e-3,-32.65e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
18,base_setup,b0,60.85e-3,,,,49.07e-3,79.67e-3,63.95e-3,57.01e-3,53.97e-3,49.07e-3,79.67e-3,68.33e-3,65.38e-3,57.93e-3
18,base_setup,b1,63.74e-3,,,,49.09e-3,79.32e-3,53.86e-3,49.09e-3,57.25e-3,58.1e-3,75.7e-3,68.05e-3,79.32e-3,74.12e-3
18,base_setup,b2,-134e-3,,,,-156.9e-3,-122.1e-3,-131.4e-3,-124.8e-3,-123.6e-3,-122.1e-3,-156.9e-3,-145.8e-3,-142.8e-3,-139.7e-3
18,base_setup,b3,-64.54e-3,,,,-76.35e-3,-53.71e-3,-54.72e-3,-61.42e-3,-53.71e-3,-63.3e-3,-72.02e-3,-75.97e-3,-67.78e-3,-76.35e-3
18,base_setup,b4,8.1e-3,,,,-3.338e-3,22.35e-3,-3.338e-3,8.051e-3,5.463e-3,15.85e-3,3.174e-3,14.56e-3,12.66e-3,22.35e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
19,base_setup,b0,-4.806e-3,,,,-10.37e-3,7.013e-3,-3.449e-3,-4.175e-3,-10.37e-3,-9.271e-3,7.013e-3,2.659e-3,-2.152e-3,-3.849e-3
19,base_setup,b1,22.21e-3,,,,13.3e-3,30.64e-3,19.94e-3,13.3e-3,26.3e-3,21.05e-3,27.48e-3,17.7e-3,30.64e-3,23.27e-3
19,base_setup,b2,13.7e-3,,,,3.705e-3,20.67e-3,20.06e-3,11.41e-3,20.67e-3,9.578e-3,10.32e-3,3.878e-3,15.21e-3,3.705e-3
19,base_setup,b3,87.08e-3,,,,76.29e-3,99e-3,87.99e-3,76.29e-3,85.73e-3,78.76e-3,97.3e-3,86.58e-3,99e-3,85.86e-3
19,base_setup,b4,-52.39e-3,,,,-56e-3,-44.54e-3,-51.23e-3,-50.64e-3,-44.54e-3,-50.11e-3,-54.71e-3,-56e-3,-51.95e-3,-54.57e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=0, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
20,base_setup,b0,33.51e-3,,,,24.05e-3,49.12e-3,37.5e-3,31.98e-3,30.12e-3,24.05e-3,49.12e-3,40.11e-3,37.6e-3,29.32e-3
20,base_setup,b1,26.57e-3,,,,15.47e-3,37.95e-3,15.47e-3,17.81e-3,25.11e-3,29.49e-3,31.22e-3,28.7e-3,37.35e-3,37.95e-3
20,base_setup,b2,-89.69e-3,,,,-108e-3,-76.47e-3,-82.21e-3,-84.92e-3,-76.47e-3,-82.86e-3,-108e-3,-105.7e-3,-95.08e-3,-101.1e-3
20,base_setup,b3,7.06e-3,,,,-8.049e-3,19.36e-3,8.191e-3,-4.746e-3,5.278e-3,-8.049e-3,15.67e-3,5.729e-3,19.36e-3,3.554e-3
20,base_setup,b4,-4.575e-3,,,,-8.516e-3,1.013e-3,-8.516e-3,-3.757e-3,-2.344e-3,-2.035e-3,-7.483e-3,-2.54e-3,-1.535e-3,1.013e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=0",,,,,,,,,,,,,,,,
21,base_setup,b0,14.2e-3,,,,6.017e-3,26.65e-3,15.1e-3,16.24e-3,6.017e-3,12.35e-3,26.65e-3,22.94e-3,13.38e-3,17.41e-3
21,base_setup,b1,50.59e-3,,,,39.17e-3,60.85e-3,46.07e-3,39.17e-3,51.11e-3,45.74e-3,54.28e-3,48.56e-3,60.85e-3,53.91e-3
21,base_setup,b2,-8.813e-3,,,,-19.1e-3,-2.733e-3,-2.733e-3,-12.06e-3,-2.942e-3,-14.54e-3,-10.48e-3,-18.06e-3,-7.291e-3,-19.1e-3
21,base_setup,b3,-41.16e-3,,,,-59.96e-3,-19.51e-3,-33.2e-3,-23.99e-3,-27.44e-3,-19.51e-3,-59.96e-3,-50.66e-3,-55.4e-3,-47.19e-3
21,base_setup,b4,-48.71e-3,,,,-51.36e-3,-44.61e-3,-47.62e-3,-46.96e-3,-44.61e-3,-44.66e-3,-50.41e-3,-51.36e-3,-48.16e-3,-50.58e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=0, ch7=1.8",,,,,,,,,,,,,,,,
22,base_setup,b0,53.43e-3,,,,47.24e-3,69.09e-3,56.8e-3,53.4e-3,47.73e-3,47.24e-3,69.09e-3,60.93e-3,53.92e-3,51.68e-3
22,base_setup,b1,53.47e-3,,,,40.93e-3,66.83e-3,40.93e-3,41.64e-3,47.64e-3,51.62e-3,54.77e-3,57.56e-3,66.83e-3,66.45e-3
22,base_setup,b2,-111.8e-3,,,,-129.6e-3,-98.67e-3,-104.8e-3,-107.6e-3,-98.67e-3,-105.4e-3,-129.6e-3,-127.9e-3,-117.4e-3,-123.3e-3
22,base_setup,b3,-123.4e-3,,,,-139.7e-3,-107.1e-3,-113.6e-3,-107.1e-3,-112.1e-3,-110.9e-3,-139.7e-3,-131.5e-3,-137.2e-3,-133.1e-3
22,base_setup,b4,-742.1e-6,,,,-4.658e-3,5.441e-3,-4.658e-3,729.3e-6,-2.318e-3,3.71e-3,334.5e-6,3.51e-3,1.695e-3,5.441e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=0",,,,,,,,,,,,,,,,
23,base_setup,b0,-12e-3,,,,-16.31e-3,-3.536e-3,-10.39e-3,-7.865e-3,-16.31e-3,-11.38e-3,-3.536e-3,-4.685e-3,-13.05e-3,-10.05e-3
23,base_setup,b1,10.16e-3,,,,4.637e-3,15.7e-3,5.217e-3,4.637e-3,14.71e-3,13.47e-3,7.717e-3,6.236e-3,15.7e-3,14.15e-3
23,base_setup,b2,35.14e-3,,,,19.78e-3,45.17e-3,45.17e-3,28.04e-3,44.68e-3,26.14e-3,37.73e-3,21.28e-3,39.66e-3,19.78e-3
23,base_setup,b3,22.41e-3,,,,21.77e-3,29.27e-3,23.56e-3,25.32e-3,21.77e-3,27.09e-3,29.27e-3,25.03e-3,22.18e-3,23.9e-3
23,base_setup,b4,-62.68e-3,,,,-74.11e-3,-52.99e-3,-52.99e-3,-60.47e-3,-54.78e-3,-65.38e-3,-62.94e-3,-69.34e-3,-62.67e-3,-74.11e-3
"Parameters: ch0=0, ch1=0, ch2=0, ch3=1.8, ch4=0, ch5=1.8, ch6=1.8, ch7=1.8",,,,,,,,,,,,,,,,
